block,code,unit_price
LEFT,REB TC,365.25
LEFT,NGP P(B),349.55
RIGHT,CONNECT CHAIN GUARD,87.8
RIGHT,LINK CHAIN GUARD,59.05
LEFT,NGP JV,387.55
RIGHT,BASEPLATED CHAIN GUARD,54.9
LEFT,NGP N,434.2
RIGHT,INTERLOCKER CHAIN GUARD,111.4
LEFT,NGP TC,482.45
RIGHT,Connect End Restraint,227.55
LEFT,GP P(B),401.05
RIGHT,Link End Restraint,227.45
LEFT,GP A(B),488.85
RIGHT,Movement Restrictor,190.7
LEFT,GP JV,454.35
RIGHT,Strand Movement Restrictor,190.7
LEFT,GP N,496.2
RIGHT,Steel AEB @ 3.6m,349.5
LEFT,GP TC,551.35
RIGHT,Steel AEB @ 1.8m,213.05
LEFT,WGP P(B),438.55
RIGHT,PVC AEB @ 3.6m,152.45
LEFT,WGP A(B),536.05
RIGHT,PVC AEB @ 1.8m,122.15
LEFT,WGP JV,488.9
RIGHT,Link Connector,127.5
LEFT,WGP N,540.7
RIGHT,ZR Turret,46.8
LEFT,WGP TC,600.75
LEFT,FP P(B),333.55
RIGHT,Gauge Connecting PlateS,122.6
LEFT,FP A(B),427.05
RIGHT,ZR Winged,59.9
LEFT,FP JV,426.35
RIGHT,ZR Winged 1UT,59.9
LEFT,FP N,421.05
LEFT,FP TC,467.75
RIGHT,Field Connecting Plates,46.65
LEFT,WFP P(B),389.75
LEFT,WFP A(B),476.35
LEFT,WFP JV,447.45
LEFT,WFP N,496.1
LEFT,WFP TC,551.2
LEFT,SWFP P(B),430.8
LEFT,SWFP JV,496.75
RIGHT,Rubber Edge Beam Baseplate,71.8
LEFT,LOOP,512.7
LEFT,NGP JV LO,641.05
LEFT,GP P(B) LO,649.05
LEFT,GP JV LO,731.15
LEFT,GP N LO,779.25
LEFT,GP TC LO,865.7
LEFT,WGP P(B) LO,686.85
LEFT,WGP N LO,834.5
LEFT,WGP TC LO,927.2
LEFT,FP P(B) LO,598.7
LEFT,FP JV LO,671.9
LEFT,FP N LO,706.55
LEFT,FP TC LO,785.05
LEFT,WFP P(B) LO,652.35
LEFT,WFP N LO,755.2
LEFT,WFP TC LO,839.1
LEFT,SWFP P(B) LO,783.05
LEFT,SWFP N LO,837.65
LEFT,SWFP TC LO,930.75
LEFT,GP JV LOL,826.55
LEFT,FP JV LOL,705.25
LEFT,WFP JV LOL,766.25
LEFT,SWFP JV LOL,877.9
LEFT,HANDLEBAR LINK,531.15
LEFT,NGP JV H K,598.6
LEFT,NGP TC H K,635.8
LEFT,GP P(B) H K,570.8
LEFT,GP JV H K,645.95
LEFT,GP TC H K,696.9
LEFT,WGP P(B) H K,608.6
LEFT,WGP JV H K,691.35
LEFT,WGP TC H K,755.65
LEFT,FP P(B) H K,520.45
LEFT,FP JV H K,585.75
LEFT,FP TC H K,618.5
LEFT,WFP P(B) H K,575.1
LEFT,WFP JV H K,653.1
LEFT,WFP TC H K,697.65
LEFT,SWFP P(B) H K,718.35
LEFT,SWFP JV H K,812.55
LEFT,SWFP TC H K,870.6
